gene,rna_pearson_r,rna_spearman_r,rna_n_obs,protein_pearson_r,protein_spearman_r,protein_n_obs,group
LARP1,0.08688656565787553,0.051212301555081434,979,-0.010626702556286872,-0.01034483993254909,775,non-significant
LARP1B,0.14989393024517617,0.1368383367058727,979,,,0,non-significant
LARP4,0.2625104767500583,0.2656896317613202,979,0.19485512123731402,0.18614626390668457,769,non-significant
LARP4B,0.37457253668790413,0.34503779778268767,979,,,0,non-significant
LASP1,0.30427316314132646,0.24492669098035721,979,0.3397264581990481,0.16189640354364415,775,non-significant
LATS1,0.3716426473165594,0.330165613994067,979,,,0,non-significant
LBR,0.13928552325733753,0.11278464981869546,979,0.10658404877667625,0.11589546669433859,774,non-significant
LCLAT1,0.32191506695460315,0.22864462351227194,979,,,0,non-significant
LCMT1,0.3205894843061521,0.2771643794009223,979,0.12844657077849334,0.14396124840131283,333,non-significant
LCP1,-0.019852170087147687,0.004177113177749419,979,,,0,non-significant
LDHA,0.19731045028750294,0.16267904480349224,979,0.08306285737116868,0.04351098568684068,775,non-significant
LDHB,0.08432297941540544,0.1537540357678675,979,0.052260126380337654,-0.015354042549512588,759,non-significant
LDLR,0.13898190536389854,0.15718731313108353,979,0.12354118887081163,0.13103739023605512,662,non-significant
LDLRAP1,0.19113750051383638,0.20164185365468312,979,,,0,non-significant
LEF1,-0.00618217697259156,-0.009848077913817149,979,0.0466640865893357,0.01669128651652987,117,non-significant
LEMD2,0.33244884215401016,0.32060255354572686,979,0.35041125999255907,0.34775064922989135,775,non-significant
LEMD3,0.29948939784636325,0.1952996341941045,979,,,0,non-significant
LEPROT,0.3472609993743272,0.34160359586948374,979,,,0,non-significant
LEPROTL1,0.4070966580702986,0.38296313626658296,979,,,0,non-significant
LGALS1,0.18191252043542944,0.1849783343781769,979,,,0,non-significant
LGALS8,0.2418354924728897,0.22132844254705702,979,,,0,non-significant
LGALSL,0.23155950509302414,0.22877897828948907,979,,,0,non-significant
LGMN,0.2963246303094714,0.31043429164303915,979,0.17560817792560884,0.17924106833409068,456,non-significant
LHX6,0.16058352923704197,0.18972001144891706,979,,,0,non-significant
LIG1,0.12328428524998207,0.08201524860460138,979,,,0,non-significant
LIG3,0.18054713606614048,0.16815643476865078,979,,,0,non-significant
LIMK2,0.18246449066145753,0.14351736503714535,979,,,0,non-significant
LIN28B,0.10986112517493056,0.14014690336686828,979,,,0,non-significant
LIN54,0.2198080127671046,0.17316769444815075,979,0.0405697766526323,0.04449991251499964,161,non-significant
LIN7C,0.34928307077101883,0.306033327066912,979,0.20975153861861562,0.20580908382951,768,non-significant
LMAN1,0.4733325546422217,0.4641492704483055,979,0.48182187000844384,0.4720375172617451,773,non-significant
LMAN2,0.43180121965209894,0.4176913583445034,979,0.4683728126065472,0.4596811693341826,775,non-significant
LMBR1,0.3650732554198794,0.3796097013280117,979,,,0,non-significant
LMBR1L,0.07284209756830301,0.025255600767070965,979,,,0,non-significant
LMO2,-0.05886346493430578,-0.04128008388322618,979,,,0,non-significant
LMO4,0.1625452589998712,0.16283688408965488,979,0.002563029358227789,-0.028990011192395176,74,non-significant
LNPEP,0.13182389368836078,0.14127918770264924,979,,,0,non-significant
LONP1,0.16391482889247758,0.1296959006419416,979,,,0,non-significant
LONP2,0.3128802615990205,0.2772061918663522,979,0.24073789607407356,0.23523336599794545,619,non-significant
LONRF2,0.09362697203167511,0.12485732585832097,979,,,0,non-significant
LPCAT1,0.2493855956228482,0.235746044606157,979,,,0,non-significant
LPCAT2,0.16926165956923925,0.1853568456885543,979,,,0,non-significant
LPCAT3,0.35336074415696117,0.3008347360894607,979,,,0,non-significant
LPGAT1,0.23416237251468466,0.2590530508500499,979,,,0,non-significant
LPIN1,0.15860071109474635,0.10048713111319717,979,0.38272634804881595,0.15397571664503842,168,non-significant
LPIN2,0.25669965024869446,0.23596595693089817,979,,,0,non-significant
LRCH1,0.3588091631465738,0.3447658618329676,979,0.1734513633824899,0.17165871537029367,278,non-significant
LRCH3,0.1624913170082718,0.12979801879072128,979,-0.08893078786598405,-0.08639141237547633,335,non-significant
LRCH4,0.1732729990450691,0.1344595494233947,979,0.12834534294026892,0.08038953526265197,604,non-significant
LRFN4,0.11938376678003076,0.1271577082115685,979,,,0,non-significant
LRMDA,0.024129044567553992,0.0804516673837991,979,,,0,non-significant
LRP10,0.2221921749772563,0.23615598948203498,979,0.14045765244538674,0.14188243338452727,724,non-significant
LRP12,0.14303719230475448,0.12930420869081521,979,,,0,non-significant
LRP5,0.2948512214232224,0.30108549121409944,979,,,0,non-significant
LRP6,0.21256496057463756,0.23842780736391256,979,,,0,non-significant
LRP8,0.1537420360527288,0.15185252571773142,979,0.047754585900049676,0.051543288871021706,239,non-significant
LRRC28,0.2638623703555847,0.21677357669777747,979,,,0,non-significant
LRRC58,0.23397202862815586,0.22005547111979534,979,,,0,non-significant
LRRC8A,0.3467335072676675,0.3425092371653811,979,,,0,non-significant
LRRC8B,0.17352613188326016,0.1102191055230403,979,,,0,non-significant
LRRC8C,0.11252202688495744,0.08885807915288063,979,,,0,non-significant
LRRC8D,0.29849209207230293,0.2504309360769283,979,,,0,non-significant
LRRFIP1,0.18308644646104758,0.16794632890656422,979,,,0,non-significant
LRRFIP2,0.31604268322350965,0.3085195422915226,979,,,0,non-significant
LSG1,0.3465020564963339,0.33626506612897206,979,0.4264117111789043,0.438664984725047,772,non-significant
LSM14A,0.3665908376765893,0.268836158081687,979,,,0,non-significant
LSM14B,0.34305744988622294,0.3275574647273826,979,,,0,non-significant
LSM4,0.2389758701603118,0.18479293454202414,979,-0.12337643053674797,-0.1215340542068734,775,non-significant
LSM6,0.1454390585553678,0.11594287715231794,979,-0.024217716280183897,-0.03873695820412808,775,non-significant
LSM7,0.25225038328985294,0.24241788733740144,979,0.06707423718465905,0.04408945744173111,775,non-significant
LSM8,0.4434518501096313,0.39361100380040925,979,0.03161174211356606,0.0038454992879261166,775,non-significant
LTA4H,0.12340710996812827,0.11036383849858707,979,,,0,non-significant
LTB4R,0.20881183876074094,0.1807440994923081,979,,,0,non-significant
LTBP1,0.04067808482340884,0.045455231002335075,979,,,32,non-significant
LTBP4,0.1117890585675867,0.07304667785692891,979,,,0,non-significant
LUC7L,0.133953605024711,0.11152695181438846,979,-0.009346927145468975,-0.02977015204646841,670,non-significant
LUC7L2,0.2745106671337403,0.2580798510453971,979,,,0,non-significant
LUC7L3,0.2342357345252724,0.16562333623092598,979,,,0,non-significant
LYL1,-0.11368145778953503,-0.09990850565988411,979,,,0,non-significant
LYN,0.06701064061977086,0.07291643504884673,979,0.03656606174285407,0.04590554502193269,612,non-significant
LYPLA1,0.33904428416978577,0.3281192495287064,979,,,0,non-significant
LYPLA2,0.29061306497622724,0.28524834173288205,979,,,0,non-significant
LYPLAL1,0.12786813714563006,0.21549298996071406,979,,,0,non-significant
LYRM4,0.2507360762616787,0.22258955335620367,979,0.21961610633036854,0.2148546003902761,761,non-significant
LZIC,0.4419249610847437,0.37706798381311374,979,0.18396804280139667,0.16964014407175196,689,non-significant
MACF1,0.25946165429035567,0.1660703663385284,979,0.28342018401660496,0.22155411197114488,775,non-significant
MAD2L1,0.1783835640066629,0.1467194918011151,979,,,0,non-significant
MAD2L2,0.2761969941089335,0.2572114201254536,979,,,0,non-significant
MAEA,0.31042306378230783,0.2765162001534638,979,-0.0046559944471479785,-0.04143649764003355,564,non-significant
MAFG,0.18289857794359868,0.17055277606316196,979,0.17919246710517345,0.19026731203928002,481,non-significant
MAGI3,0.31142453356231914,0.2659198653964504,979,0.02707578010882454,0.003968569435642063,167,non-significant
MAGOHB,0.3468281496397144,0.2974427905750607,979,,,0,significant
MAN1A1,0.06635781395816867,0.07041628949391214,979,,,0,non-significant
MAN1A2,0.37837570312237445,0.3070794414554444,979,,,0,non-significant
MAN1B1,0.398574028123747,0.35207567743966783,979,,,0,non-significant
MAN2A1,0.2323508828063631,0.23516795402548504,979,,,0,non-significant
MAN2A2,0.08014220350503694,0.043536497738121425,979,,,0,non-significant
MAN2B1,0.20621348405554252,0.20228069086162093,979,,,0,non-significant
MANEA,0.2557905585267558,0.24887164035378465,979,,,0,non-significant
MANEAL,0.1973638678957673,0.09720778919728573,979,,,0,non-significant
MAP1A,-0.05396119205680913,-0.05273185802711917,979,0.028084488013354274,0.014915700679402538,393,non-significant
MAP1B,0.14900234161833525,0.1387823425882296,979,0.08983381905835865,0.08351919490025253,649,non-significant
MAP1LC3B,0.23527619975171918,0.22511136943802676,979,,,0,non-significant
MAP1S,0.21152378693391904,0.14501182686704034,979,0.13636095735006248,0.0918441227110323,735,non-significant
MAP2K1,0.22956910503113212,0.19364193013034567,979,,,0,non-significant
MAP2K2,0.2960110503704967,0.2682167914914489,979,,,0,non-significant
MAP2K4,0.49497821848559187,0.4073779241187105,979,,,0,non-significant
MAP2K5,0.13007345541308518,0.11872469064302604,979,,,0,non-significant
MAP2K7,0.19750115070209062,0.16777411150594201,979,,,0,non-significant
MAP3K2,0.196901874017039,0.16278566126882632,979,,,0,non-significant
MAP3K3,0.1374023938775406,0.08950403914823253,979,,,0,non-significant
MAP3K4,0.3442119660826396,0.3080341568638557,979,,,0,non-significant
MAP3K8,0.1787716762712881,0.1660643563261336,979,,,0,non-significant
MAP4K2,0.03949102149755508,0.0493607880723982,979,,,0,non-significant
MAP4K3,0.311544623264072,0.31506344177882845,979,,,0,non-significant
MAP4K4,0.08309510900015094,0.05407643660417062,979,,,0,non-significant
MAP4K5,0.30599248860125067,0.2673323526456182,979,,,0,non-significant
MAPK1,0.30454071138557626,0.23891287566549202,979,,,0,non-significant
MAPK12,0.14607291300579056,0.15112759680215687,979,,,0,non-significant
MAPK14,0.2531445871827498,0.21718942239309347,979,,,0,non-significant
MAPK3,0.22668786530775198,0.20717634457215298,979,,,0,non-significant
MAPK6,0.33587657451370656,0.3221929365046344,979,,,0,non-significant
MAPK8,0.2003158320374409,0.16920387733769723,979,,,0,non-significant
MAPK9,0.37137404417380143,0.3296722656460223,979,,,0,non-significant
MAPKAPK2,0.24801359593549258,0.1912812699294499,979,,,0,non-significant
MAPKAPK3,0.26237060864778805,0.25724645836696425,979,,,0,non-significant
MAPKAPK5,0.2614163198757177,0.19681199977442987,979,,,0,non-significant
MAPRE1,0.38724954166315506,0.3662646674533488,979,,,0,non-significant
MAPRE2,0.23908647099641286,0.215782418733689,979,,,0,non-significant
MARK2,0.29573537403955236,0.2567779631001271,979,0.2322904189513254,0.20814223468699825,718,non-significant
MARK3,0.37710478617953735,0.38164020529792775,979,0.11290912201107972,0.12476721447902367,416,non-significant
MARK4,0.15957256351642043,0.06807866948074222,979,,,0,non-significant
MAST1,0.10264076335992586,0.09382037680035782,979,,,0,non-significant
MAST2,0.19392288719340547,0.1638072463953936,979,,,0,non-significant
MAST4,0.07358020518048472,0.08670189605568715,979,0.045319818421986326,0.05386560286410889,162,non-significant
MAZ,0.09721741628436499,0.05360132133396076,979,0.06509311503465497,0.03755037538555781,494,non-significant
MBD2,0.2492309156663705,0.24483136752033852,979,0.182298055816276,0.16206590972471202,754,non-significant
MBD3,0.20543543245179294,0.17239845233006618,979,-0.0029653241107209204,-0.003159393396804957,736,non-significant
MBD5,0.13750313488860694,0.10714967072071654,979,,,0,non-significant
MBD6,0.2635060076718844,0.13815354114755093,979,,,0,non-significant
MBNL1,0.025294007467750707,-0.015213973973165824,979,0.023855707867175162,-0.011372107207727668,740,non-significant
MBNL2,0.2460827778354192,0.24932046587025675,979,,,0,non-significant
MBOAT1,0.2908884376922575,0.23577809088052762,979,,,0,non-significant
MBOAT7,0.3622074538620792,0.3130757340048945,979,,,0,non-significant
MBTD1,0.08376949895654669,0.07369065798974482,979,,,0,non-significant
MCCC1,0.3089350813080515,0.2334864409874048,979,,,0,non-significant
MCCC2,0.15636197953010939,0.16609157753513354,979,,,0,non-significant
MCEE,0.13522441065775886,0.08294827942262913,979,0.11213277075955738,0.10917299293678574,710,non-significant
MCM2,0.035312236993454885,0.0029889571012732537,979,-0.14165977935991464,-0.17391671036589462,775,non-significant
MCM3,0.19269728219873114,0.12946402926954712,979,-0.05690520236103042,-0.11910629662801688,775,non-significant
MCM4,0.18018031168956206,0.19087873573365638,979,-0.0998703435340471,-0.09951810209812233,774,non-significant
MCM5,0.1276459911545523,0.10970985949946536,979,-0.051189141082224304,-0.044094037740523125,773,non-significant
MCM6,0.03894147565850749,-0.010294250255391024,979,-0.07845420575073406,-0.14671846832664465,775,non-significant
MCM7,0.25171700355924187,0.20632699882646405,979,-0.06518962655616863,-0.10563499179082163,774,non-significant
MCM8,0.3068987459111936,0.3012901323878123,979,,,0,non-significant
MCM9,0.32582549691888607,0.3070914670254987,979,,,0,non-significant
MCRIP1,0.1726751771334834,0.15102823264383858,979,,,0,non-significant
MCRIP2,0.13564997936751236,0.10879316922408541,979,,,0,non-significant
MCU,0.3393049724594768,0.326208079388516,979,0.34323415591334966,0.3350356986320813,751,non-significant
MCUB,0.024058451952579416,0.022454225206106886,979,0.0370911287616281,0.060544516162923966,392,non-significant
MCUR1,0.361784728169661,0.3239798049165961,979,0.16037665125535627,0.1541973092217938,310,non-significant
MDH2,0.41073669697333276,0.39767429737964227,979,,,0,non-significant
MDM2,0.4066449623993522,0.06792361752023947,979,,,0,non-significant
MDM4,0.17445811244459927,0.10340150078971976,979,,,0,non-significant
ME1,0.18120198865642023,0.1825958950393587,979,,,0,non-significant
ME2,0.4367353484637787,0.36421024091433535,979,,,0,non-significant
MECOM,0.341417373855982,0.3488694958498831,979,,,0,non-significant
MECR,0.30641507373865334,0.2857150111450168,979,0.24338525913849918,0.25725376548686724,750,non-significant
MED13,0.26864761287938466,0.245068770380984,979,0.2696004949434264,0.26039283695872006,425,non-significant
MED13L,0.16839443381953315,0.12503946754245532,979,,,0,non-significant
MED25,0.25612090900807644,0.22644814321835102,979,0.06298332810769874,0.04548140359332453,674,non-significant
MEF2A,0.14397248471277388,0.08042022099641734,979,-0.04661700749064103,-0.14899319136376485,123,non-significant
MEF2C,-0.09798144575727422,-0.06433656655948876,979,-0.002255691935545867,-0.016712878912397717,130,non-significant
MEIS2,0.14608844824341713,0.14806451554593952,979,,,0,non-significant
MELK,0.3406631177853947,0.36618144126720614,979,0.07359275680362526,0.0387571560120902,134,non-significant
METAP1,0.17821013485921267,0.1470122379537768,979,,,0,non-significant
METAP1D,0.17498181372577942,0.13367081753365537,979,,,0,non-significant
METRN,0.2055511952374501,0.22256956619817134,979,,,0,non-significant
METRNL,0.10234281166229461,0.11874729738822454,979,,,0,non-significant
METTL21A,0.1674983071122116,0.10523350266178026,979,,,0,non-significant
METTL23,0.4739456248750657,0.45469937043058184,979,,,0,non-significant
METTL2A,0.4308375996342412,0.3787524791719483,979,,,0,non-significant
METTL2B,0.4256433866909428,0.4054570057323235,979,,,0,non-significant
METTL6,0.4149357546447715,0.3766928163133899,979,,,0,non-significant
METTL8,0.10295010013985095,0.05675651042755721,979,,,0,non-significant
MEX3A,0.18607584781782646,0.15471577254151828,979,0.07575360640463322,0.04248903037406183,181,non-significant
MEX3B,-0.051722734089968976,-0.07358015363883605,979,0.07056901127845448,0.05498512244994252,103,non-significant
MEX3D,0.19397354006950843,0.19075882706448596,979,,,0,non-significant
MFN1,0.40001728700407413,0.3624057751679283,979,0.2885132590950803,0.2912076045650112,689,non-significant
MFN2,0.3691267640144367,0.3677252788278877,979,0.2518998286787624,0.2585728207537365,752,non-significant
MFSD10,0.18796238462373893,0.19627268117957272,979,,,0,non-significant
MFSD3,0.29121110034063363,0.2876408334198832,979,,,0,non-significant
MFSD9,0.28117410814767063,0.23839149590129757,979,,,0,non-significant
MGA,0.03438128668285004,0.007013917259220057,979,,,31,non-significant
MGAT1,0.26979482297157487,0.22933536047114744,979,0.23717576342344215,0.23025611775669502,626,non-significant
MGRN1,0.15302575119654482,0.10151961788230589,979,,,0,non-significant
MGST2,0.0764192074770479,0.07755965661244157,979,0.15064797830577653,0.09796809721242947,488,non-significant
MGST3,0.24343767190246993,0.25319721906627807,979,0.13713475708194808,0.11515685922939722,405,non-significant
MIA2,,,0,0.33567421876854003,0.32360997581924855,751,non-significant
MIA3,0.32991558273326194,0.28435881241266225,979,,,0,non-significant
MIB1,0.30108605635680247,0.243685574926402,979,0.06967784867661456,0.05074780515004669,303,non-significant
MIB2,0.17109328770618484,0.16785124733614346,979,,,0,non-significant
MICAL2,0.25063579422411986,0.24822740221124703,979,,,0,non-significant
MICAL3,0.23937185116085655,0.24606982749932618,979,,,0,non-significant
MICB,0.11790899096761255,0.10490452165696781,979,0.16194222084730323,0.1760334222536564,307,non-significant
MICU1,0.2889031415523896,0.2677452217773525,979,0.2891289606198594,0.31545975966040485,447,non-significant
MICU2,0.4663698892533016,0.40115705574972566,979,0.11173893305569436,0.11422263328435993,167,non-significant
MIER1,0.28984638379363487,0.23284523048427205,979,0.10726336413023074,0.13156273161508886,513,non-significant
MIER2,0.16177979110501545,0.16873815549133633,979,,,0,non-significant
MIER3,0.2185371566524361,0.1986061749108669,979,,,0,non-significant
MIF,0.2931764607108063,0.2753893989946214,979,0.05459853993996054,0.013426075729784628,774,non-significant
MIGA1,0.3696184166430916,0.31754162108807543,979,,,0,non-significant
MIPEP,0.3921404520826087,0.35067587319190907,979,0.33212911627105424,0.30584412759921237,760,non-significant
MITF,0.33579045391610424,0.2545011245559739,979,0.40678172373825094,0.3937294117927817,118,non-significant
MKNK1,0.27699583861182697,0.264553671415108,979,,,0,non-significant
MKNK2,0.014894914989988215,0.029303794469439988,979,,,0,non-significant
MKRN1,0.4164144246363874,0.40562053910379153,979,0.2150514977990336,0.2422357058261518,121,non-significant
MKRN2,0.38374951707621574,0.33827876088163034,979,0.19530750190587293,0.15804710732327798,665,non-significant
MKS1,0.3098882789234454,0.2976964282287827,979,,,0,non-significant
MLF1,0.3535347596111781,0.3762333665634622,979,,,0,non-significant
MLF2,0.378356345891823,0.3249169514660755,979,0.422546280722665,0.36796863250444206,763,non-significant
MLLT1,0.2022419936832926,0.18410372359612806,979,,,0,non-significant
MLLT10,0.2567575767194381,0.2241828951957729,979,,,0,non-significant
MLLT3,0.25992376694616276,0.25583600816939084,979,,,0,non-significant
MLLT6,0.2652998853993258,0.08987820602411194,979,,,0,non-significant
MLX,0.3054143817907167,0.2573553206350912,979,,,0,non-significant
MLXIP,0.19009640226394978,0.1449319572711681,979,,,25,non-significant
MNT,0.11394809147451765,0.11424129761953118,979,,,0,non-significant
MOB1A,0.12709994480543457,0.09913132678989646,979,,,0,non-significant
MOB1B,0.11938660792629946,0.09577682728619107,979,,,0,non-significant
MOB2,0.34440265714278323,0.32075616582802696,979,-0.022750166323954695,-0.006436233084929285,168,non-significant
MOB3A,0.1347105990985023,0.15143310980475483,979,-0.19644168183169072,-0.23150974084350362,119,non-significant
MOB3B,0.16823425529951602,0.16834908638821358,979,,,0,non-significant
MOB4,0.3451745591424008,0.32798372601021564,979,,,0,non-significant
MOCS3,0.5541835036889045,0.5387647630490221,979,0.15168582566123026,0.16997391038506307,363,non-significant
MON1A,0.24008077356977287,0.23660273542642285,979,,,0,non-significant
MON1B,0.2972349059773795,0.28280379783587184,979,,,0,non-significant
MORF4L1,0.2658371576992661,0.2376839113122857,979,,,0,non-significant
MPC1,0.2813987774767266,0.2363324643723646,979,0.28528230921885106,0.2885829499876546,197,non-significant
MPC2,0.20760167649570194,0.20205163415020697,979,0.1309553446881387,0.12122574889847075,292,non-significant
MPDU1,0.3509278210197272,0.38817612402961377,979,,,0,non-significant
MPST,0.09525988280036482,0.1034709417523659,979,,,0,non-significant
MPV17,0.165785881139375,0.08132497705243293,979,0.1272644980375453,0.12419501553790463,167,non-significant
MPV17L2,0.3137281148514748,0.2671161867319221,979,,,0,non-significant
MPZL1,0.22797071321541174,0.21575447092678676,979,0.11874296475085742,0.15335541804351735,732,non-significant
MR1,0.043967684547971723,0.02948093934395297,979,,,0,non-significant
MRFAP1,0.38292013044216083,0.3607024214878886,979,,,0,non-significant
MRFAP1L1,0.3524978677244395,0.3657493001172771,979,,,0,non-significant
MRM2,0.4345858782552937,0.39729200863837266,979,,,0,non-significant
MRPL13,0.39573850740674654,0.5049764007202976,979,,,0,non-significant
MRPL2,0.4436592995193134,0.4004799605955303,979,,,0,non-significant
MRPL38,0.39965068966526807,0.28725653381130445,979,,,0,non-significant
MRPS11,0.3601816650683094,0.30416379942635663,979,,,0,non-significant
MRPS12,0.4678136548253865,0.37451504990157675,979,,,0,non-significant
MRPS5,0.26798353114956813,0.2234114486282692,979,,,0,non-significant
MRPS7,0.46004508298694125,0.42494844869811754,979,,,0,non-significant
MRPS9,0.2932560927232992,0.2371992094349375,979,,,0,non-significant
MRTFB,0.2866886508983055,0.2680839617760452,979,0.06989918465614944,0.07766557002083668,598,non-significant
MS4A3,-0.07118741606757537,0.023616191757744556,979,,,0,non-significant
MS4A4A,-0.08905387752579512,-0.04364775915055821,979,,,0,non-significant
MSH2,0.16293500071079975,0.11055663982514054,979,0.021580687937110203,-0.03619203447894951,764,non-significant
MSH3,0.26337073618886525,0.19169090410730624,979,0.10161204003799108,0.014369608936356946,286,non-significant
MSH6,0.04040590414356691,0.04660254623021678,979,0.059954862047971014,0.005253956273783614,766,non-significant
MSI2,0.08962714167423635,0.06267353672239513,979,,,0,non-significant
MSMO1,0.2020590763076996,0.1975540135252496,979,,,0,non-significant
MSRB1,0.29642294015338777,0.2784327349171005,979,,,0,non-significant
MSRB2,0.22559123726215086,0.2510273778376086,979,0.2258683140021538,0.22159146543347935,619,non-significant
MSX1,0.09220801284528785,0.08996866520465156,979,,,0,non-significant
MT1F,0.13608159090051047,0.14114566828606018,979,0.21082319930254007,0.10222804654454452,55,non-significant
MT1X,0.20028988781292884,0.2198017455170761,979,,,23,non-significant
MT2A,0.23878428022166306,0.24256984392574243,979,,,0,non-significant
MTA1,0.28650567848334707,0.23851183689767796,979,0.21636509631494877,0.17602868826071646,745,non-significant
MTA2,0.12248149704981799,0.097978522041302,979,-0.06670230416042089,-0.08089533430805038,775,non-significant
MTA3,0.20148180834111923,0.19383752963939424,979,0.13853951521829855,0.1463485029820419,726,non-significant
MTCH1,0.32009255649769386,0.303730691421967,979,0.1854340731393394,0.1690908851042883,697,non-significant
MTCH2,0.2969153589232655,0.2586240027610601,979,0.43025458329776844,0.41772879164081433,775,non-significant
MTF2,0.2600646110698613,0.2254209523445931,979,0.12989976384068724,0.11192692470177695,412,non-significant
MTFR1,0.435126724154537,0.4385094378510069,979,0.2415226708381517,0.2636783598488668,520,non-significant
MTFR1L,0.3304349345256538,0.28600964207627594,979,,,0,non-significant
MTFR2,0.34620436471064514,0.3129262690684279,979,0.16215875967041346,0.1068719759441192,249,non-significant
MTG2,0.5214474932728863,0.49511362862728187,979,0.2925973055548642,0.32471980787036153,366,non-significant
MTHFD1,0.2839859095426174,0.2683081085315502,979,,,0,non-significant
MTHFD1L,0.19977835096670404,0.15505755638988225,979,,,0,non-significant
MTHFD2,-0.00010628139318793681,-0.019886029445725387,979,,,0,non-significant
MTHFD2L,0.22791968455383876,0.16751695919284534,979,,,0,non-significant
MTMR12,0.32463158041746876,0.31323956970029143,979,,,0,non-significant
MTMR2,0.33186023011283666,0.3158589095609002,979,,,0,non-significant
MTMR4,0.13687003996334232,0.11202641558573237,979,,,0,non-significant
MTMR6,0.28579868821584997,0.23847992934653636,979,-0.025809513839463685,0.015981376216328464,286,non-significant
MTMR9,0.3933332197141543,0.40216772713244275,979,0.17974395725244466,0.10490959119491754,161,non-significant
MTPAP,0.34780151828397704,0.30473041707086673,979,,,0,non-significant
MTRF1,0.4309714923312321,0.36327288946613995,979,,,0,non-significant
MTRF1L,0.3606359707065379,0.33203360177676144,979,,,0,non-significant
MTRR,0.4038296409192721,0.4041050879759783,979,,,0,non-significant
MTX1,0.5182675107482617,0.4445008260645534,979,0.23863523639276166,0.2510138137042704,774,non-significant
MTX2,0.32795847052892624,0.3239245655267019,979,0.29000363997945006,0.2889070358491522,774,non-significant
MVK,0.22854442030664188,0.24206933317172288,979,,,0,non-significant
MXD1,0.0038423333113074727,0.01865919820947168,979,,,0,non-significant
MXD3,0.0837189703810048,0.04934850870260605,979,,,0,non-significant
MXD4,0.13002312167422075,0.10195824252650601,979,,,0,non-significant
MXI1,0.0492075457992556,0.04170962144312768,979,,,0,non-significant
MYB,0.10120076449134718,-0.010427314169018053,979,,,0,non-significant
MYBL2,0.08810784841806679,0.06186066698045172,979,,,0,non-significant
MYC,0.24407259596428185,0.15818478141418957,979,,,0,non-significant
MYL12A,0.2454657780524289,0.2647392601023286,979,,,0,non-significant
MYL12B,0.32844347709221244,0.36781393984686045,979,,,0,non-significant
MYL4,-0.03855939206287264,-0.0694997445024192,979,0.042588243098641995,0.06904832751638576,111,non-significant
MYL6,0.17756844719494902,0.17058034932185923,979,0.0005360170086954816,0.03325292823543002,775,non-significant
MYL6B,0.07877927683939742,0.031082838112448375,979,0.062347944632783134,0.020434338870535206,617,non-significant
MYNN,0.38472592098535335,0.2918343238633673,979,,,0,non-significant
MYO18B,-0.010834464806245326,0.045177919342919745,979,,,0,non-significant
MYO19,0.311104818892981,0.28270957689015724,979,0.19306087075507344,0.17112370223645354,495,non-significant
MYO1C,0.35443842542091286,0.36271258661482014,979,0.29067131159851534,0.3551456892102272,722,non-significant
MYO1D,0.13585941165205284,0.15385026325432744,979,0.13041180329221708,0.14248535350120095,531,non-significant
MYO9A,0.0618116156057376,0.06574337083270276,979,,,0,non-significant
MYO9B,0.11721379602297166,0.09718872402075227,979,0.16835183924600333,0.11695630242162468,462,non-significant
MYRF,0.1565523619907623,0.16607321429255867,979,,,0,non-significant
MYSM1,0.23620908395477325,0.1783004923887534,979,,,0,non-significant
MZT2A,0.11504011198500778,0.1145459369813928,979,0.11516124830567158,0.09136812356285201,241,non-significant
MZT2B,0.1337809596393732,0.11340839512081333,979,-0.02519056012906551,-0.07153628706347824,246,non-significant
N4BP1,0.30189666567312134,0.2710346212089482,979,0.20760258862184935,0.24702680627912293,149,non-significant
NAA15,0.2222558884038558,0.1840501854502245,979,0.13797936511916148,0.1215726428159361,769,non-significant
NAA16,0.2741684715898661,0.2201795716012563,979,0.23977851892691487,0.22865515075528364,136,non-significant
NAA20,0.5198588493002039,0.5261662806535212,979,-0.03515134929036116,-0.03563458622811073,644,non-significant
NAA50,0.3175955219617383,0.29320727708629746,979,-0.14654163506174295,-0.1691381475346167,752,non-significant
NAB1,0.16075464769171455,0.17606402320866257,979,,,0,non-significant
NABP1,0.22399236210577342,0.240423626190821,979,,,0,non-significant
NABP2,0.22698339050793495,0.21494797766082205,979,,,0,non-significant
NACA,0.27761688007063573,0.12402410577943791,979,,,0,non-significant
NACC1,0.22427228792913131,0.16785134596854046,979,0.25502384207046064,0.24950033584173448,753,non-significant
NACC2,0.24405917590468182,0.19553794834911875,979,,,0,non-significant
NAE1,0.2948014241369442,0.24292529676282698,979,,,0,non-significant
NAGA,0.26823950811506253,0.2493914272642439,979,-0.0021744011314556444,0.010368939287303935,582,non-significant
NANP,0.3618072975391817,0.3245961159527076,979,,,0,non-significant
NAP1L1,0.09588875725415857,0.025327497106270216,979,,,0,non-significant
NAP1L4,0.29348181548138474,0.24224080645141535,979,,,0,non-significant
NAPA,0.3205928294665553,0.28944668262044704,979,,,0,significant
NARF,0.17043110043119372,0.16751704031016343,979,,,0,non-significant
NAXE,0.45523264282899445,0.43722523712797046,979,,,0,non-significant
NBEAL1,0.15104103029534058,0.13762880529021626,979,,,0,non-significant
NBEAL2,-0.005387600953944386,-0.01931544367378843,979,,,0,non-significant
NCK1,0.31786861051114645,0.27211158176651423,979,0.0690682185273625,0.049804835649306066,638,non-significant
NCKAP1,0.310426920572368,0.3257911004955203,979,,,0,non-significant
