gene,rna_pearson_r,rna_spearman_r,rna_n_obs,protein_pearson_r,protein_spearman_r,protein_n_obs,group
CTCFL,-0.06019932279431671,-0.002452363834293257,979,,,0,non-significant
CTDNEP1,0.38860586857611845,0.3495009599385548,979,,,0,non-significant
CTDSP1,0.08925402511820327,0.07163744036476061,979,,,0,non-significant
CTDSP2,0.25146011229020804,0.1603798771625282,979,,,0,non-significant
CTDSPL2,0.15963521991773938,0.12109768902699099,979,,,0,non-significant
CTNNA1,0.3502667809979226,0.35904752336525886,979,,,0,non-significant
CTNNAL1,0.25345333114059687,0.28970644361661196,979,,,0,non-significant
CTNNB1,0.3583772369048773,0.3477708164656743,979,,,0,non-significant
CTNNBIP1,0.22179179557244194,0.18648179977616494,979,,,0,non-significant
CTNND1,0.25926435667231384,0.316044487813418,979,,,0,non-significant
CTPS1,0.364543075461778,0.2051246158059616,979,,,0,non-significant
CTSA,0.3960420697697389,0.3842612631562254,979,,,0,non-significant
CTSB,0.2331242713400677,0.2414972153984198,979,,,0,non-significant
CTSC,0.17958700911369835,0.18063172853198406,979,,,0,non-significant
CTSF,0.1415907607217063,0.1219159685574691,979,,,0,non-significant
CTSH,0.1642492687070355,0.18330881120646073,979,,,0,non-significant
CTSL,0.28010162090562624,0.2737143180864639,979,,,0,non-significant
CTSS,0.014606533043891087,0.00500749499687978,979,,,0,non-significant
CTSV,0.31028378596569034,0.3049465177456634,979,,,0,non-significant
CTSZ,0.20429013741697968,0.26234379059241153,979,,,0,non-significant
CTTN,0.3842831109266668,0.4734703640729197,979,,,0,non-significant
CUL1,0.4402023691571726,0.41904781819187925,979,0.13093066652194055,0.14877062273259692,756,non-significant
CUL2,0.399574013574521,0.37223550319399207,979,0.21263087450124268,0.1851723117062125,757,non-significant
CUL3,0.2770061467736012,0.22843515766847444,979,-0.004414625887076824,-0.04546877768699383,761,non-significant
CUL4A,0.4807337642968934,0.42501695864481376,979,0.18731114433572227,0.18055763907138783,589,non-significant
CUL5,0.44652792402012303,0.3705486167020304,979,0.25886503940892147,0.1947141917520889,692,non-significant
CUX1,0.26636992350900845,0.2627529206460419,979,0.29475290073285837,0.27598213201895855,764,non-significant
CWC27,0.28034745638258046,0.24215148311573564,979,0.02203262431430429,0.0022236046868615296,721,non-significant
CXXC5,0.04519426046740773,0.04614099957328107,979,0.03681121351840437,0.018311007834973792,165,non-significant
CYB561,0.22918295647627107,0.2502978783378752,979,,,0,non-significant
CYB561A3,0.08254977017907085,0.08388652841807835,979,,,0,non-significant
CYB5A,0.16497551838696334,0.21630793432427003,979,,,0,non-significant
CYB5B,0.24572692720241113,0.2455759107761985,979,0.33638648107470753,0.3547772923886958,773,non-significant
CYB5R1,0.3477067488991113,0.34667644665330416,979,,,0,non-significant
CYB5R3,0.26011393010256245,0.2787241782749883,979,,,0,non-significant
CYB5R4,0.25422285567824365,0.24064396616659325,979,,,0,non-significant
CYB5RL,0.14290971042472,0.09676005822499416,979,,,0,non-significant
CYBRD1,0.044827344041602664,0.06152381239274812,979,,,0,non-significant
CYTH1,0.08846298479103075,0.10485809469593876,979,,,0,non-significant
CYTH2,0.3096576626123617,0.27303141566695954,979,,,0,non-significant
DAAM1,0.3231256605710038,0.3093435778360601,979,0.20198835666468978,0.1954888647111377,415,non-significant
DAPK1,0.06865366690299406,0.06137161913026409,979,0.1399212290386157,0.1484150115377893,410,non-significant
DAPK3,0.28477251770845174,0.27081816792804136,979,0.10547595219323712,0.10972576277898535,283,non-significant
DAZAP1,0.04903853303147857,0.05616450086618701,979,,,0,non-significant
DBI,0.2562322718450703,0.23056982313697233,979,,,0,non-significant
DBN1,0.10387957369110144,0.0589503334089112,979,,,0,non-significant
DBNDD2,0.20790337974216272,0.20774124816349604,979,,,0,non-significant
DBNL,0.29542383424035396,0.2633030772815697,979,0.0781354612291279,0.055346005503416985,767,non-significant
DBT,0.3063020826408862,0.24525066751975447,979,,,0,non-significant
DCAF4,0.2701646995754462,0.24942381066431268,979,,,0,non-significant
DCAF6,0.2180402912477249,0.18275404177910004,979,0.1243020833560497,0.12419885178563504,167,non-significant
DCAF8,0.26881128989847985,0.1985983654080666,979,0.20144316154943012,0.19612182235244902,651,non-significant
DCK,0.09783499764019557,0.09071000379538925,979,-0.06310854073405633,-0.047464674012619966,683,non-significant
DCLRE1C,0.2835788468055336,0.2727471808037517,979,,,0,non-significant
DCUN1D1,0.39975196855294143,0.32206424538829864,979,,,0,non-significant
DCUN1D4,0.33601921148790587,0.2491976032620784,979,,,0,non-significant
DCUN1D5,0.5392828505321696,0.4413018266763066,979,,,0,non-significant
DDB1,0.2208398327452508,0.16773385310946629,979,0.0753693593793999,0.05260640920368337,775,non-significant
DDHD1,-0.010470892294596934,-0.03319097367034572,979,,,0,non-significant
DDHD2,0.40888574791857013,0.35623605481951315,979,0.17796554482947474,0.16434149691959563,211,non-significant
DDX1,0.570938385356428,0.2936104914471565,979,0.3845060889670113,-0.008173982367759132,775,non-significant
DDX10,0.4020478320905065,0.406015864004941,979,0.30685189495827636,0.28556281481479756,771,non-significant
DDX17,0.18072518135372617,0.1395599859013783,979,0.05091277040036256,0.035812599124774004,775,significant
DDX18,0.24948657189351464,0.21764751216882477,979,0.2920768332810451,0.24365767241536995,775,non-significant
DDX19A,0.30766679391688656,0.25232368162804136,979,,,0,non-significant
DDX19B,0.2624167107518427,0.25740677981503957,979,,,0,non-significant
DDX20,0.33283540980238624,0.2673851290488808,979,0.04930391698711993,0.008174832161859007,732,non-significant
DDX21,0.21532623293159214,0.17650151005070377,979,0.3192444046819993,0.3096922650539147,775,non-significant
DDX23,0.18873983078091616,0.1325768208582699,979,0.3886803198318417,0.3212444577996035,775,non-significant
DDX24,0.34607406002234387,0.27891694090875563,979,0.31904337833124913,0.31016774462173957,775,non-significant
DDX28,0.21460684196476387,0.17528012107591934,979,0.14554943103901913,0.15846666502366302,716,non-significant
DDX31,0.2757432433277139,0.2668757032169436,979,0.1798876873467116,0.21328960503616315,583,non-significant
DDX39A,0.1839874215259953,0.15473149519105558,979,,,0,significant
DDX39B,0.16638810238905272,0.09242196219463862,979,,,0,non-significant
DDX42,0.291638279564385,0.2621016543915072,979,0.1111528921705352,0.09880218263917884,775,non-significant
DDX46,0.10695081525887495,0.09988141643360059,979,0.03958303301378974,0.004974154381501222,775,non-significant
DDX49,0.3061543560203237,0.22078709345409742,979,0.02875918816341537,0.033185180301444114,543,non-significant
DDX5,0.2626045740282229,0.18379864753464573,979,0.12489537424297831,0.10810924270935274,775,non-significant
DDX50,0.2464778814919686,0.18695834566035,979,0.3923076673494923,0.3868294547847614,774,non-significant
DDX51,0.2640988156751401,0.12199772763705574,979,0.2496590827903825,0.08705659649859003,767,non-significant
DDX52,0.5038412392841489,0.37900467653774983,979,0.24641684081603063,0.20660814955748028,767,non-significant
DDX54,0.11532093000266769,0.11515677033444421,979,0.1854641852419345,0.20558535013515122,773,non-significant
DDX55,0.25099385523300344,0.19605237821128632,979,0.12685391529372358,0.14624347536151683,594,non-significant
DDX56,0.4574705702761268,0.4209740698982056,979,0.23462844703819602,0.23773298040958896,774,non-significant
DDX59,0.34141844586874986,0.30202004754427236,979,0.13571941295694773,0.13866118308439546,344,non-significant
DDX6,0.30530117263206313,0.2552450148293459,979,0.04416515067186268,0.03856005299589039,774,non-significant
DECR1,0.21277332349480235,0.2420630680323174,979,,,0,non-significant
DEDD,0.3902649990779324,0.3047181498726741,979,,,0,non-significant
DEDD2,0.3530891757119767,0.32935657066305524,979,0.013102171618563705,0.0013804733898876208,438,non-significant
DENND1A,0.16090605890219706,0.1457785627199617,979,,,0,non-significant
DENND1B,0.15847239651433165,0.13822144957392754,979,,,0,non-significant
DENND4A,0.03063162354036994,0.04717783095755126,979,,,0,non-significant
DENND4B,0.2510486006385294,0.1543966493805475,979,,,0,non-significant
DENND4C,0.3636122026696236,0.38367840430420314,979,,,0,non-significant
DEPDC1,0.3338757776894572,0.34082639980275103,979,,,0,non-significant
DEPDC1B,0.16399809286167555,0.1575441735392494,979,,,0,non-significant
DERL1,0.49809408867564975,0.4741288210851077,979,0.4832945991140547,0.45908703869500583,730,non-significant
DERL2,0.498667658359724,0.4876891606730301,979,0.17488241325578135,0.1732927098244631,309,non-significant
DESI1,0.2543480635158951,0.20787475036501502,979,0.11462870644275978,0.08055900687389464,541,non-significant
DESI2,0.22216774992290145,0.19864202834511308,979,,,0,non-significant
DGAT1,0.31577429216125896,0.3360656278367384,979,,,0,non-significant
DGKD,0.1202081409664145,0.13038795353208646,979,,,0,non-significant
DGKE,-0.021842315800833716,-0.02163211413704784,979,0.17388736483835138,0.16304865905001317,214,non-significant
DGKH,0.2201016707689917,0.17661004209297995,979,,,0,non-significant
DGKZ,0.19679798634539297,0.1400372053097959,979,0.008635324702584383,0.0038098926902544288,188,non-significant
DGUOK,0.23399912774270154,0.2243582738086026,979,,,0,non-significant
DHCR7,0.36066825113305945,0.3687208584146756,979,0.43143877881248016,0.39441085841255047,734,non-significant
DHFR,0.21163418392802613,0.15651405158853265,979,,,0,significant
DHRS11,0.32509115109665365,0.29306431432905256,979,,,0,non-significant
DHRS13,0.19536739465760072,0.1454567073613978,979,,,0,non-significant
DHRS3,0.05986047788323581,0.0865390532812356,979,0.03930736955544915,0.018529041233494317,236,non-significant
DHRS4,0.32016242765987646,0.29933631449652914,979,0.38593922318774354,0.3809391418286636,711,non-significant
DHRS4L2,0.2132227422447826,0.19892036658304724,979,,,0,non-significant
DHRS7,0.29249334806707794,0.2929042232282109,979,0.36593150252855344,0.3561432325850017,749,non-significant
DHRS7B,0.4776593151266843,0.41241320719670765,979,,,0,non-significant
DHTKD1,0.1786998109834282,0.22142766253152088,979,,,0,non-significant
DHX15,0.25271050103880466,0.2133920346291184,979,0.24262025111686947,0.20728040944596113,775,non-significant
DHX16,0.37851769126029006,0.3248958048606365,979,0.22049904310649227,0.20498412557921536,775,non-significant
DHX29,0.39418574696741826,0.3565056837489615,979,0.14978604110381574,0.16514263918072622,671,non-significant
DHX30,0.2734620378812816,0.24779365506750295,979,0.3538361580348478,0.35287436602457073,774,non-significant
DHX32,0.30219659544867084,0.3573997743490885,979,,,0,non-significant
DHX33,0.24440712714660587,0.22852401059670047,979,0.020022865490871695,0.048558296688991025,734,non-significant
DHX34,0.2814726791291052,0.25012879172191704,979,0.05189489954125359,0.043596314085537526,272,non-significant
DHX36,0.3313685606784016,0.2892015736498831,979,0.20562309887633193,0.19257603734252665,697,non-significant
DHX37,0.21737139949843207,0.11700462598927415,979,0.10450115284060651,0.11363851381654662,752,non-significant
DHX38,0.3316665153068086,0.28827093163254286,979,,,0,non-significant
DHX57,0.23650839154961778,0.224700493559156,979,-0.05705738256403829,-0.06741673369095899,381,non-significant
DHX8,0.25200440626703613,0.24279408772440036,979,0.12410874447969249,0.16938319271706165,757,non-significant
DHX9,0.15214030646304721,0.13389884206958738,979,0.2679833947916833,0.26554306325432314,775,non-significant
DIAPH1,0.11770687752015588,0.1336222878617656,979,,,0,non-significant
DIAPH3,0.26720114728617317,0.27405095119670075,979,,,0,non-significant
DIDO1,0.37282564707545807,0.3494734776355411,979,0.26163189035887047,0.2483434145731292,775,non-significant
DIMT1,0.20986967685473715,0.16207517347212647,979,,,0,non-significant
DIP2A,0.2709443546951037,0.22455326246056126,979,0.022378128513444777,0.004078134668000217,231,non-significant
DIP2B,0.14292072427584263,0.1995274074654766,979,0.08223245677367082,0.08543991486014561,532,non-significant
DIS3,0.43442356823535067,0.3858769755242274,979,,,0,non-significant
DIS3L,0.15454133162554945,0.124624356211053,979,,,0,non-significant
DIS3L2,0.214769049523558,0.2011467614740719,979,,,0,non-significant
DLAT,0.41630008679389274,0.36743408777084435,979,,,0,non-significant
DLC1,0.14889505228926808,0.13039247271011994,979,,,0,non-significant
DLD,0.3847965496945607,0.38960372057315684,979,,,0,non-significant
DLST,0.3517728651625723,0.30742042246728074,979,,,0,non-significant
DLX4,0.12706532813223478,0.1658164055621017,979,,,0,non-significant
DMWD,0.2824846700960028,0.2403298697789525,979,,,0,non-significant
DMXL1,0.15838154720135522,0.12789727241593948,979,,,0,non-significant
DMXL2,0.18468683072667935,0.17601048385894077,979,,,0,non-significant
DNAJA1,0.32933299880152134,0.30542222296280297,979,,,0,non-significant
DNAJA2,0.45272452894901966,0.3930954653041597,979,,,0,non-significant
DNAJA3,0.2684328742177336,0.26236308437392825,979,,,0,non-significant
DNAJB1,0.22973999427053923,0.2433730373849587,979,,,0,non-significant
DNAJB11,0.481000671442124,0.46932858900785557,979,,,0,non-significant
DNAJB12,0.41721083449267354,0.3658844565345278,979,,,0,non-significant
DNAJB14,0.1649162655628218,0.14345085550399456,979,,,0,non-significant
DNAJB4,0.2724910096077488,0.268889224373542,979,,,0,non-significant
DNAJB6,0.37179506693443576,0.38645184174155506,979,,,0,non-significant
DNAJB9,0.23401143276894437,0.25715827826251625,979,,,0,non-significant
DNAJC13,0.3420754100156784,0.3044472238639568,979,,,0,non-significant
DNAJC21,0.5277471127010102,0.46391850751517144,979,,,0,non-significant
DNAJC5,0.4031445677836337,0.39246538960275834,979,,,0,non-significant
DNAJC6,0.1468254655622864,0.13105412839697603,979,,,0,non-significant
DNM1,0.11822795092258699,0.13480053288056268,979,,,0,non-significant
