paralog_gene,dep_gene,cell_line,delta_z,source
SLIT2,SLIT3,cd4t_rest,6.816588983871043,nonsig
DESI2,DESI1,cd4t_rest,2.2985004782676697,nonsig
MAFB,MAF,cd4t_rest,4.924009263515472,nonsig
SEMA5B,SEMA5A,cd4t_rest,3.043592542409897,nonsig
RGS11,RGS9,cd4t_rest,7.627885149791837,nonsig
CDC34,UBE2C,cd4t_rest,2.2903369071427733,nonsig
UBE2A,UBE2C,cd4t_rest,2.017268016934395,nonsig
TMEM145,GPR180,cd4t_rest,2.5300317145884037,nonsig
SOX10,SOX21,cd4t_rest,10.355306543409824,nonsig
TWIST1,TCF24,cd4t_rest,4.6993593499064445,nonsig
CD207,CLEC4E,cd4t_rest,3.5984954279847443,nonsig
SP1,SP4,cd4t_rest,4.197161879390478,nonsig
SP4,SP1,cd4t_rest,4.173508547246456,nonsig
HS3ST2,NDST1,cd4t_rest,3.293043438345194,nonsig
TNRC6C,TNRC6A,cd4t_rest,2.272978574037552,nonsig
UCHL3,UCHL5,cd4t_rest,3.400175519287586,nonsig
RHOBTB1,RHOU,cd4t_rest,2.4101742580533028,nonsig
RHOBTB1,RHOG,cd4t_rest,2.7357209995388985,nonsig
APOBEC1,APOBEC3A,cd4t_rest,6.017887924332172,nonsig
KLRD1,CLEC7A,cd4t_rest,3.673835009336472,nonsig
CLEC7A,KLRF1,cd4t_rest,7.105074064806104,nonsig
KLRG1,CLEC7A,cd4t_rest,4.533416271209717,nonsig
SMAD7,SMAD4,cd4t_rest,4.43538961187005,nonsig
SMAD7,SMAD3,cd4t_rest,2.506874892860651,nonsig
EMB,NPTN,cd4t_rest,2.5861410722136497,nonsig
STOML2,STOM,cd4t_rest,2.17474964261055,nonsig
HNF4G,RXRA,cd4t_rest,2.599902592599392,nonsig
RUNX1,RUNX3,cd4t_rest,2.4742661137133837,nonsig
TMED9,TMED10,cd4t_rest,2.354080729186535,nonsig
MORF4L2,MSL3,cd4t_rest,2.269731156527996,nonsig
TGFB2,BMP6,cd4t_rest,4.3272039368748665,nonsig
FOXE1,FOXQ1,cd4t_rest,2.222816828638315,nonsig
IAPP,CALCB,cd4t_rest,12.920201562345028,nonsig
PPA2,PPA1,cd4t_rest,2.4177970439195633,nonsig
CAMK4,MKNK1,cd4t_rest,2.4830114990472794,nonsig
ID4,ID1,cd4t_rest,4.5532354498282075,nonsig
OSGEPL1,OSGEP,cd4t_rest,2.800141453742981,nonsig
GMEB1,GMEB2,cd4t_rest,3.862811522558331,nonsig
GMEB2,GMEB1,cd4t_rest,5.383935183286667,nonsig
GSTT2B,GSTZ1,cd4t_rest,2.5507389158010483,nonsig
ARHGEF40,PLEKHG4,cd4t_rest,9.230226058978587,nonsig
CPE,CPXM1,cd4t_rest,3.0475331842899323,nonsig
BHLHA9,TCF15,cd4t_rest,8.483055133372545,nonsig
SAFB2,SAFB,cd4t_rest,4.746141822077334,nonsig
CA13,CA10,cd4t_rest,2.24744713306427,nonsig
ZFHX3,ZFHX2,cd4t_rest,2.2481160648167133,nonsig
ZHX2,ZHX3,cd4t_rest,3.318961475044489,nonsig
CLCN4,CLCN6,cd4t_rest,3.1480478793382645,nonsig
PRKCA,PRKCE,cd4t_rest,2.4505784809589386,nonsig
CMTM6,CMTM7,cd4t_rest,2.3659402579069138,nonsig
TBC1D10A,TBC1D10B,cd4t_rest,2.585657462477684,nonsig
RAX,ALX1,cd4t_rest,2.6019313111901283,nonsig
TIGD7,TIGD6,cd4t_rest,2.108646262437105,nonsig
PDE1A,PDE3B,cd4t_rest,2.8161224499344826,nonsig
GZF1,ZNF530,cd4t_rest,2.3051133141852915,nonsig
ME1,ME3,cd4t_rest,3.662423551082611,nonsig
DERL2,DERL3,cd4t_rest,2.077566185966134,nonsig
EEF1G,CLIC1,cd4t_rest,2.3129740613512695,nonsig
PDE6A,PDE6C,cd4t_rest,6.082082065753639,nonsig
PDE10A,PDE6C,cd4t_rest,3.1499243266880512,nonsig
FEM1C,FEM1B,cd4t_rest,2.0014892797917128,nonsig
TRAF1,TRAF3,cd4t_rest,2.614157998934388,nonsig
HSPA1L,HSPA14,cd4t_rest,2.577857732772827,nonsig
GLIS2,GLIS1,cd4t_rest,2.3445954471826553,nonsig
GSC2,MIXL1,cd4t_rest,3.4365502670407295,nonsig
CTNNA3,CTNNA1,cd4t_rest,2.1895575374364853,nonsig
DUSP5,STYXL1,cd4t_rest,2.2410469129681587,nonsig
SLC7A5,SLC7A11,cd4t_rest,2.793954387307167,nonsig
STX7,STX16,cd4t_rest,3.22869124263525,nonsig
JAK2,LCK,cd4t_rest,2.6552864480763674,nonsig
LPIN2,LPIN1,cd4t_rest,2.5153844580054283,nonsig
TSSK3,TSSK4,cd4t_rest,2.0911175049841404,nonsig
SOX15,SOX2,cd4t_rest,2.757535383105278,nonsig
HACE1,NEDD4,cd4t_rest,2.049510093405843,nonsig
SERPINB10,HMSD,cd4t_rest,21.0380327552557,nonsig
NPBWR1,LTB4R2,cd4t_rest,6.7675806209445,nonsig
YIPF7,YIPF5,cd4t_rest,2.8411932326853275,nonsig
FEZ1,FEZ2,cd4t_rest,2.01810697093606,nonsig
STX1B,STX2,cd4t_rest,2.494733776897192,nonsig
STX1B,STX11,cd4t_rest,2.267640557140112,nonsig
FUT3,FUT7,cd4t_rest,3.4674551067873836,nonsig
HS3ST6,NDST2,cd4t_rest,11.47373141720891,nonsig
DNAJB9,DNAJB11,cd4t_rest,3.463395968079567,nonsig
LIN28B,YBX3,cd4t_rest,2.9298857748508453,nonsig
LIN28B,YBX2,cd4t_rest,2.626000553369522,nonsig
KDM2B,KDM2A,cd4t_rest,2.2624875642359257,nonsig
HSF2,HSF1,cd4t_rest,3.133364200592041,nonsig
TBX18,TBR1,cd4t_rest,6.336697719991207,nonsig
SGK2,MAST2,cd4t_rest,2.2228929549455643,nonsig
HDAC2,HDAC1,cd4t_rest,2.420962579548359,nonsig
PMPCA,UQCRC2,cd4t_rest,2.200178489089012,nonsig
UQCRC2,UQCRC1,cd4t_rest,3.0823217928409576,nonsig
RC3H2,RC3H1,cd4t_rest,3.169773429632187,nonsig
BCLAF1,THRAP3,cd4t_rest,3.600324001163244,nonsig
PRSS22,TMPRSS5,cd4t_rest,15.749417908489704,nonsig
DLX3,DLX1,cd4t_rest,6.133956145495176,nonsig
NR1H4,RORB,cd4t_rest,6.220427546300925,nonsig
FNIP1,FNIP2,cd4t_rest,2.2191284680739045,nonsig
AP3M1,AP4M1,cd4t_rest,2.1525766598060727,nonsig
PPP1CB,PPP4C,cd4t_rest,2.267739267554134,nonsig
ING3,ING2,cd4t_rest,2.8559960052371025,nonsig
APOL6,APOL2,cd4t_rest,3.7987603321671486,nonsig
PITX2,ARX,cd4t_rest,3.014676570892334,nonsig
RNF149,RNF130,cd4t_rest,2.5675626546144485,nonsig
GSC,PHOX2A,cd4t_rest,2.098637320101261,nonsig
DNAH6,DYNC2H1,cd4t_rest,3.064156949520111,nonsig
DDX50,EIF4A2,cd4t_rest,2.7726124487817287,nonsig
CHRNA10,CHRNB1,cd4t_rest,2.0066935420036316,nonsig
CHRNB3,CHRNB1,cd4t_rest,34.168170142918825,nonsig
ALDH1A3,ALDH7A1,cd4t_rest,2.819197939708829,nonsig
WNT1,WNT16,cd4t_rest,3.2384013049304485,nonsig
HES7,HEY1,cd4t_rest,4.495849567931145,nonsig
VTI1A,VTI1B,cd4t_rest,2.533127333968878,nonsig
PAX9,PAX1,cd4t_rest,2.4381898418068886,nonsig
PDIA5,P4HB,cd4t_rest,2.9194296151399612,nonsig
KCNAB1,AKR1B1,cd4t_rest,3.883448749780655,nonsig
TRIM28,TRIM24,cd4t_rest,2.9727542400360107,nonsig
