paralog_gene,mean_dz,max_dz,n_pairs
SNX18,1.0931407536069553,1.8402056246995928,6
TRAF1,1.0925619691196415,2.614157998934388,9
NR4A2,1.091932435830434,3.0340057015419006,6
INAVA,1.0906086061149836,3.7928016893565655,3
SWAP70,1.0900888119699854,1.9264961145818231,4
NR4A1,1.0899632200598717,3.160981349647045,6
TNFRSF11B,1.0879668419559796,3.796255361288786,3
REG4,1.0811517337958019,1.4439597129821775,3
ATXN1L,1.0804088632576168,1.420701041817665,4
PRSS55,1.0790988725299637,7.065440654754639,6
HIGD1C,1.0788151112695534,7.498515101149678,6
ZYX,1.0767334450638388,1.9630697816610336,4
PACSIN2,1.0738152990008838,2.171823069453239,4
MRPS9,1.0674428370970332,2.9505658282069573,3
CLTA,1.0655719780083415,2.2593707144260406,4
SMOX,1.0651650950312614,1.8006007000803947,3
L1CAM,1.0621818999449413,2.7764157094061375,6
LRRC4B,1.060607581709822,2.041440801694989,3
BTBD9,1.0565719914933045,1.3473471999168396,3
SLC31A1,1.056272342801094,1.313091263175011,3
DDX3Y,1.054876919835806,1.2997455894947052,3
SV2C,1.0528860154251258,4.2646594271063805,3
RFPL4A,1.0522886142134666,3.4763633236289024,3
ZC3H12D,1.049799665601717,2.588985485956073,9
CCR4,1.0487851997216542,1.7637863606214523,3
RRAGD,1.0410036571492456,2.6174870282411575,11
RAB11FIP3,1.0359079161038,1.599763125181198,3
B3GNT3,1.0355904625935688,10.433351803570986,18
TNKS2,1.0353344201044818,2.450628258287906,4
SHARPIN,1.0351281936527765,1.8940005116164684,4
NOX1,1.0334843016365387,3.2635200954973698,3
ADGRG5,1.0304638495047886,1.2197376489639282,3
THEMIS2,1.0269749065240223,1.427228156477213,3
NLRP13,1.0261414750388616,9.532903116196394,9
TMEM87B,1.0199313023493388,3.1208551549352705,4
PDIA4,1.0173584235736637,2.896525025367737,8
TMEM178A,1.0170145860562723,3.319234784692526,3
RAB11FIP5,1.0162081010639668,2.883761346340179,6
TULP1,1.01551143398198,6.597891817102209,6
TMEM145,1.0153047004714608,2.5300317145884037,3
MEOX1,1.0150487398107846,2.238638311624527,3
PLA2G15,1.0146525093975167,1.540662169456482,3
EXOSC6,1.0121218806490264,3.53038098597301,6
DDX50,1.0091783895127948,4.195506943317147,24
PDE2A,1.008857655338943,3.113394245505333,9
PJA2,1.0077127839128177,1.593219444155693,3
RASSF1,1.0076307178358592,2.6296113207936287,11
CKLF,1.0025550685822964,1.6006844863295555,3
PKIA,1.0003785478572051,1.5625144429504871,3
MORF4L2,0.9945018744344352,2.338913455605507,8
XRN1,0.9944496894019379,3.960523560643196,4
BEST2,0.9901100857920634,4.930287167429924,6
PER3,0.9896479360759258,3.290606178343296,6
MCOLN3,0.9879954898109039,2.8767832443118095,6
E2F7,0.9879840960105261,1.2265420258045197,3
EFNB2,0.9843173660337925,1.9253340885043144,3
GPBP1,0.9803543282920768,2.0815556943416595,4
CD207,0.9787087628307442,3.5984954279847443,3
TMEM132E,0.9755796641111374,0.9755796641111374,1
SMAD7,0.9750690741671456,4.43538961187005,18
RASGRP4,0.9741519573662016,3.940460845828056,9
HECTD1,0.9737645180063543,1.82182664523134,4
COL6A1,0.9736590509613355,5.512030214071274,6
DSC3,0.9729953190932671,6.8256778083741665,6
POLE4,0.9727053407621188,2.8863858091965353,3
SLTM,0.9721102564457614,2.0392591799609363,8
SIAH1,0.9712720167779568,1.852039396762848,7
POU5F1,0.9708013385534286,0.9708013385534286,1
HNF1B,0.968746488293012,2.018025040626526,3
TMEM38A,0.9683543965220451,1.3458680137991903,3
CD28,0.9681243722637495,1.632918357849121,3
CBLB,0.9680764724810919,1.3132305294275284,3
MIA3,0.9676186044262145,1.9602845460176468,4
LHFPL6,0.9676163246234258,1.132446050643921,3
ASXL2,0.9634421887654504,2.3974085450172424,4
CDKL4,0.9625648775448402,2.018171040341258,6
STAT1,0.959939566473197,8.047877920791507,27
PHOSPHO1,0.9584247202922901,1.9339342936873436,3
ISG20,0.9581047104050716,2.808235317468643,6
LLGL2,0.9538646321743727,1.670660451054573,4
TMEM86B,0.9500691220164299,1.3512711003422735,3
HMG20B,0.947729488884749,3.291905552148819,11
CUX2,0.9464055051406225,2.1985728442668915,3
LRBA,0.9432272605287532,1.3487398102879524,3
PCGF2,0.9420851311644475,6.9727077186107635,20
CDIP1,0.937519021332264,1.1874822732061148,3
KCNMB4,0.9372661833961805,1.027710609138012,3
PEX11B,0.9365732509953281,0.9591836482286452,3
SEC23A,0.9363474938716971,1.7642268612980845,4
ISOC1,0.9310554353243274,2.2561077158898115,4
THRAP3,0.9295600984639064,3.3076938688755035,6
BIRC7,0.929148163460195,5.424314171075821,10
CERKL,0.9288920424878597,4.018583297729492,3
ZC3H12A,0.9281114121485088,3.5851846784353256,9
TNIP1,0.926720542833209,2.2300296183675528,3
APOA1,0.9265181869268417,1.5187503546476364,3
LYSMD2,0.9221663226683935,1.3376324474811554,3
FBLN1,0.9193081984606882,6.6935858661308885,6
CALCOCO1,0.9176664836704731,2.778373386710882,6
DYNLL2,0.914888243683336,4.03593085706234,6
NSMCE3,0.9134162366390228,2.671549491584301,3
KDM1B,0.9130652555825963,1.317878656089306,4
MIB1,0.9080745835140039,2.5644966065883636,4
GPR137B,0.9052631892263889,1.4226982556283474,3
SKI,0.9035914703219299,2.8535653576254845,8
TPPP3,0.8951249386494359,3.3005341589450836,3
EEF1A1,0.895077468664616,2.8972189633995113,13
AKIRIN1,0.8945225075703185,2.7996266037225723,6
CNFN,0.8915210478007793,1.894571490585804,3
NRIP3,0.8904859870672226,1.1845407038927078,3
RIMKLA,0.8882479878763357,1.3272887170314789,3
CFL1,0.8868470711376915,1.9315910786390305,4
OCIAD1,0.883086413765947,2.6270668879151344,3
PARVG,0.8822127543389797,1.4191838167607784,3
APP,0.8803012284139792,1.7767600752413273,6
ASF1A,0.8786132526792179,2.8630198687314987,4
YTHDF1,0.8785249268817572,1.885043228045106,8
CD8B2,0.8778481731812159,2.3212259709835052,3
CIAO2B,0.8778455311499783,2.774996981024742,4
MGAT4A,0.8773656922082106,1.699924722313881,3
NT5C3A,0.875908285991635,2.250353799201548,4
MARVELD2,0.8747863350436091,1.4268831089138985,3
CPSF6,0.87399578046805,3.0743560940027237,4
ISCA1,0.8717103625686219,3.033137650229037,6
KLK3,0.870490949600935,5.8877056166529655,6
IFFO1,0.8693066301445166,2.2258254140615463,3
