rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
313,Regulation Of Intracellular Signal Transduction (GO:1902531),0.5053964669751628,1.4436692126909518,0.9851773024746345,ARHGEF40,0.5291625076778084,0,0,GO_Biological_Process_2023
314,Regulation Of Cell Cycle (GO:0051726),0.5065763030818043,1.4387351778656126,0.978455478570718,MDM2,0.5291625076778084,0,0,GO_Biological_Process_2023
315,Protein Transport (GO:0015031),0.5239467826612715,1.368520066889632,0.8845636914856461,CANX,0.5455699832155462,0,0,GO_Biological_Process_2023
316,Supramolecular Fiber Organization (GO:0097435),0.5273483476648647,1.35527950310559,0.8672351512680926,MDM2,0.5473742342850494,0,0,GO_Biological_Process_2023
317,Organelle Assembly (GO:0070925),0.5340802646758471,1.3295408370581066,0.8339001689088014,UBAP1,0.5526130183396778,0,0,GO_Biological_Process_2023
318,Protein-Containing Complex Assembly (GO:0065003),0.5407183111319983,1.3047467092142002,0.8022324093542327,MDM2,0.557408866567827,0,0,GO_Biological_Process_2023
319,Regulation Of Cell Population Proliferation (GO:0042127),0.5421141110827341,1.1162885398487492,0.6834797659381758,"BICRAL, MDM2",0.557408866567827,0,0,GO_Biological_Process_2023
320,Negative Regulation Of Gene Expression (GO:0010629),0.5494252302664404,1.273069435431538,0.7624191119130287,PTBP2,0.5631608610231014,0,0,GO_Biological_Process_2023
321,Protein Modification By Small Protein Conjugation (GO:0032446),0.5786458523320687,1.1731943945382681,0.6418131720886853,MDM2,0.5912642977100265,0,0,GO_Biological_Process_2023
322,Negative Regulation Of Programmed Cell Death (GO:0043069),0.5954732613511164,1.1197368421052631,0.5804702267178616,MDM2,0.6065690364073484,0,0,GO_Biological_Process_2023
323,DNA Damage Response (GO:0006974),0.5983737381855658,1.1107957770462027,0.5704377745450718,BCLAF1,0.6076364895506674,0,0,GO_Biological_Process_2023
324,Positive Regulation Of Multicellular Organismal Process (GO:0051240),0.601253857662398,1.1019936922730345,0.5606261127658174,BICRAL,0.6086767447940326,0,0,GO_Biological_Process_2023
325,Cellular Response To Oxygen-Containing Compound (GO:1901701),0.619030810925618,1.0492753623188407,0.503232707422647,SLIT2,0.6247449414880082,0,0,GO_Biological_Process_2023
326,Regulation Of Cell Migration (GO:0030334),0.6438228534205541,0.9800180741038257,0.4315329883847343,SLIT2,0.6477726868771219,0,0,GO_Biological_Process_2023
327,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.6589192521667301,0.9400366335679167,0.39214030772112185,PSPC1,0.6609342957513378,0,0,GO_Biological_Process_2023
328,Negative Regulation Of Apoptotic Process (GO:0043066),0.6826996314468882,0.880050619181054,0.3359155804321924,MDM2,0.6826996314468882,0,0,GO_Biological_Process_2023
