kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
CLN8,MSigDB_Hallmark_2020,prerank,Apical Junction,-0.29516121468532486,-0.8758961577382678,0.8299319727891157,1.0,1.0,47/198,17.09%,AMIGO1;LAMA3;NECTIN4;WNK4;CERCAM;LAYN;CLDN5;PTK2;MAPK13;RASA1;CTNNA1;MPZL1;MYH9;THBS3;AMH;LAMC2;SYK;CRAT;PARD6G;ITGB4;VWF;CNN2;RAC2;MYL9;CLDN7;SIRPA;BMP1;CNTN1;NRTN;FSCN1;MAPK14;ADAM15;AMIGO2;CRB3;NF2;ZYX;CDH1;NECTIN3;TGFBI;ACTN1;CDH8;PKD1;CDH11;TRAF1;PTEN;SLC30A3;VASP
CLN8,MSigDB_Hallmark_2020,prerank,heme Metabolism,-0.29110962964324366,-0.8699819633950564,0.8461538461538461,1.0,1.0,76/199,25.01%,SLC66A2;XK;AQP3;GYPB;HBZ;NR3C1;SYNJ1;KDM7A;ABCB6;ADD1;FBXO7;EPOR;UBAC1;GCLC;DAAM1;ALDH1L1;HBQ1;MXI1;CPOX;CLIC2;CDR2;RHCE;TNRC6B;BTRC;CTSB;CTNS;HTATIP2;MPP1;RAP1GAP;GDE1;SLC2A1;KHNYN;GAPVD1;CLCN3;CIR1;SLC22A4;SLC6A9;MKRN1;FN3K;PIGQ;KLF3;ALDH6A1;VEZF1;FTCD;SLC11A2;CROCCP2;RCL1;NFE2L1;CA1;HDGF;CAST;BCAM;MOCOS;ELL2;FOXO3;SPTB;XPO7;SNCA;EZH1;MARCHF8;MINPP1;MARCHF2;ATP6V0A1;ISCA1;RNF123;GLRX5;BMP2K;TNS1;FECH;BACH1;OSBP2;BTG2;PICALM;SLC30A10;SLC7A11;PPP2R5B
CLN8,MSigDB_Hallmark_2020,prerank,p53 Pathway,-0.2947923022088104,-0.8686821992821493,0.8480138169257341,1.0,1.0,70/199,25.03%,PLK3;BMP2;CDKN2B;KLF4;ZBTB16;PMM1;KLK8;TRIB3;OSGIN1;IER3;KIF13B;CTSF;ABAT;IL1A;TNNI1;ATF3;HBEGF;RAD51C;RGS16;EI24;APP;ZNF365;SFN;ITGB4;S100A4;BLCAP;ABCC5;DEF6;CCND2;RALGDS;NOTCH1;VWA5A;CSRNP2;BAK1;PITPNC1;HMOX1;NOL8;PROCR;AK1;PPM1D;FAM162A;MXD1;SPHK1;RAD9A;FUCA1;WWP1;EPHX1;SDC1;RHBDF2;TPD52L1;FOXO3;PLXNB2;RACK1;PHLDA3;ACVR1B;RB1;SP1;UPP1;POM121;STOM;POLH;CDKN2AIP;COQ8A;DRAM1;BTG2;CTSD;TSC22D1;TPRKB;SLC7A11;MXD4
CLN8,MSigDB_Hallmark_2020,prerank,UV Response Dn,-0.301286189568246,-0.8645599760633453,0.8031634446397188,1.0,1.0,50/144,24.35%,SLC22A18;SPOP;CAP2;COL5A2;LTBP1;NR3C1;LAMC1;PDGFRB;ATP2B1;SNAI2;SCN8A;RND3;CDC42BPA;ADORA2B;TGFBR2;SMAD3;DAB2;KIT;PRKAR2B;APBB2;SLC7A1;ANXA2;MGMT;MAPK14;PLCB4;DDAH1;CELF2;ARHGEF9;DLC1;COL11A1;DUSP1;PTEN;ATP2C1;NR1D2;PDLIM5;LDLR;CITED2;FHL2;NFIB;CACNA1A;RBPMS;GJA1;PTPRM;SIPA1L1;WDR37;NOTCH2;CCN1;ATRX;YTHDC1;PRKCA
CLN8,MSigDB_Hallmark_2020,prerank,PI3K/AKT/mTOR  Signaling,0.2959533431745595,0.8489376191450142,0.8404494382022472,1.0,1.0,34/105,18.43%,CXCR4;PITX2;PLA2G12A;RAC1;YWHAB;EIF4E;CAB39L;PPP1CA;AKT1;CSNK2B;GRK2;CAB39;PPP2R1B;MAPK9;PFN1;PIK3R3;ARF1;MAPK10;AKT1S1;UBE2N;GNGT1;DDIT3;THEM4;RAF1;NGF;HRAS;NOD1;MAPKAP1;STAT2;CDK1;TRAF2;IRAK4;ARPC3;ADCY2
CLN8,MSigDB_Hallmark_2020,prerank,Spermatogenesis,0.29083575185049304,0.8398552162041952,0.9057971014492754,1.0,1.0,40/135,19.60%,GPR182;GFI1;SHE;SNAP91;DDX4;CHFR;DPEP3;NEFH;GSTM3;ZPBP;PSMG1;HSPA2;SYCP1;PAPOLB;GSG1;CCNA1;SCG3;GAPDHS;TNNI3;OAZ3;CFTR;MLLT10;PEBP1;EZH2;MAP7;PGS1;PACRG;PIAS2;PCSK1N;SCG5;TTK;CDK1;NEK2;YBX2;GRM8;VDAC3;TSN;TLE4;CCNB2;BRAF
CLN8,MSigDB_Hallmark_2020,prerank,Androgen Response,0.2980656022540866,0.838604521385823,0.8799076212471132,1.0,1.0,25/100,14.44%,NKX3-1;LIFR;SGK1;CCND3;SAT1;DBI;STK39;HPGD;ZBTB10;AKT1;NCOA4;UBE2J1;GSR;APPBP2;BMPR1B;HOMER2;FADS1;HSD17B14;H1-0;MAP7;KRT19;ALDH1A3;CCND1;CENPN;GNAI3
CLN8,MSigDB_Hallmark_2020,prerank,Bile Acid Metabolism,0.2969617864921005,0.8363744263687648,0.8695652173913043,1.0,1.0,41/112,20.07%,CH25H;ABCA4;SLC29A1;DIO1;ABCA9;ACSL1;HSD17B11;SCP2;APOA1;CYP27A1;GNPAT;CYP39A1;TFCP2L1;PEX1;SULT2B1;CAT;FADS1;RXRA;CYP7B1;PNPLA8;SLC27A5;ABCD1;MLYCD;PRDX5;GCLM;PEX11A;ABCD3;ATXN1;OPTN;PEX7;IDH2;PEX6;EPHX2;GSTK1;ISOC1;BBOX1;CROT;NR1H4;DHCR24;SLC35B2;RBP1
CLN8,MSigDB_Hallmark_2020,prerank,Hypoxia,-0.27896843432847823,-0.8260045646346887,0.9543230016313213,1.0,1.0,58/200,21.14%,BCAN;IGFBP3;TGM2;ZFP36;NR3C1;STBD1;SLC2A5;NOCT;GAA;AK4;IER3;ANGPTL4;ENO1;GCK;ATF3;PGF;GPC1;MYH9;PPFIA4;MXI1;KDM3A;SLC37A4;ADORA2B;PFKFB3;S100A4;PKLR;NEDD4L;PLAC8;PGM2;ANXA2;NDST2;SLC2A1;PLIN2;KLF6;TPD52;TGFBI;HMOX1;VHL;COL5A1;DUSP1;KIF5A;FAM162A;GPC3;IRS2;CCNG2;HK1;STC2;DTNA;VEGFA;JMJD6;NCAN;FOXO3;DPYSL4;WSB1;B3GALT6;CITED2;PLAUR;P4HA1
CLN8,MSigDB_Hallmark_2020,prerank,KRAS Signaling Up,0.2690986960807908,0.8211926894650519,0.9794344473007712,1.0,1.0,48/200,15.92%,TLR8;SNAP91;CXCR4;BIRC3;RBP4;PSMB8;SPARCL1;TSPAN13;BTC;RELN;GADD45G;FCER1G;CD37;MAP3K1;SPP1;INHBA;NRP1;GPRC5B;CAB39L;BPGM;TFPI;MAFB;TPH1;ALDH1A2;SCN1B;PCP4;TMEM158;ADAM8;SCG3;MPZL2;LIF;CBR4;TNFRSF1B;NIN;FBXO4;MALL;YRDC;CDADC1;EVI5;MAP7;ALDH1A3;SEMA3B;PCSK1N;PTPRR;GLRX;SCG5;AVL9;NGF
