dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
ZNF257,ZNF273,63.7827,0.2861860903758311,Non-significant background,195,2.0109312158399506
DDX6,DDX19B,25.98795,0.2855900467399052,Non-significant background,196,2.0212436836134886
PSMA2,PSMA1,29.0728,0.2851995821015881,Non-significant background,197,2.031556151387027
KLF8,KLF13,20.96345,0.2839658600772715,Non-significant background,198,2.041868619160565
RARA,PPARA,24.3021,0.2838998064820149,Non-significant background,199,2.0521810869341035
CHMP3,CHMP2A,27.4775,0.28359921217557,Non-significant background,200,2.0624935547076415
GFM1,EEF2,22.099,0.282721721652336,Non-significant background,201,2.0728060224811795
ZNF274,ZNF444,21.3412,0.2824721619193781,Non-significant background,202,2.083118490254718
PTBP1,PTBP3,75.74125,0.2823325991954427,Non-significant background,203,2.0934309580282564
PSMB5,PSMB7,22.2372,0.2815213267436464,Non-significant background,204,2.1037434258017944
PSMA7,PSMA5,35.5901,0.2806704840659657,Non-significant background,205,2.1140558935753324
SDHAF1,LYRM4,26.5743,0.2805379015857351,Non-significant background,206,2.124368361348871
PSMA1,PSMA5,29.0236,0.2804275653361836,Non-significant background,207,2.134680829122409
PSMC6,PSMC1,40.68475,0.2802790845455015,Non-significant background,208,2.1449932968959473
DDX47,DDX19B,21.856,0.2790126741889408,Non-significant background,209,2.1553057646694853
ZFR,STRBP,22.8614,0.2787286251038114,Non-significant background,210,2.1656182324430238
ACADS,ACAD8,35.3088,0.2782995141696376,Non-significant background,211,2.1759307002165618
ZC3H8,ZC3H4,21.01945,0.2782658433195394,Non-significant background,212,2.1862431679901
MAP2K7,MAP2K5,27.2508,0.2781932670608139,Non-significant background,213,2.196555635763638
PAK1,STK39,22.2018,0.2775152754026632,Non-significant background,214,2.206868103537176
HNRNPA1L2,HNRNPA1,90.10415,0.2773276029523306,Non-significant background,215,2.2171805713107147
SS18L1,SS18L2,34.9026,0.2767381929125097,Non-significant background,216,2.227493039084253
CLIC1,CLIC4,65.62575,0.2744332874418658,Non-significant background,217,2.237805506857791
GNAS,GNAI3,41.83085,0.2742685756247209,Non-significant background,218,2.248117974631329
RBM4,RBM4B,89.63085,0.2740715690109875,Non-significant background,219,2.2584304424048676
ACTR5,ACTR6,20.44625,0.2739106043023017,Non-significant background,220,2.2687429101784056
SP4,SP1,40.0255,0.273305814396381,Non-significant background,221,2.279055377951944
PSMB7,PSMB6,26.5003,0.2727503599194162,Non-significant background,222,2.289367845725482
TBX5,TBX18,23.0778,0.2722656318863269,Non-significant background,223,2.2996803134990205
UBL7,UBQLN1,22.7292,0.271171470755949,Non-significant background,224,2.3099927812725585
PSMC2,PSMC3,37.15775,0.2711575953501802,Non-significant background,225,2.320305249046097
HNRNPD,HNRNPDL,51.45875,0.2710312507117792,Non-significant background,226,2.330617716819635
ATP1A1,ATP2C1,26.64695,0.2710171446950437,Non-significant background,227,2.340930184593173
GFM2,EEF2,20.69575,0.2708776230843733,Non-significant background,228,2.3512426523667114
TBL1X,TBL1XR1,83.13695,0.2707510145220524,Non-significant background,229,2.3615551201402494
TIAL1,TIA1,78.3344,0.2700240892189222,Non-significant background,230,2.371867587913788
DOCK7,DOCK11,30.3898,0.2693220855610477,Non-significant background,231,2.382180055687326
HSPA8,HSPH1,28.89865,0.2690174245951413,Non-significant background,232,2.3924925234608643
DUSP3,PTPMT1,21.2801,0.2690111048189768,Non-significant background,233,2.4028049912344023
PSMC2,PSMC6,41.7254,0.268606259662441,Non-significant background,234,2.4131174590079407
