dep_gene,paralog_gene,mean_identical_score,delta_z,direction,paralog_ctrl_mean_z
RGL1,RGL2,30.5512,-0.9789184629917145,g2_to_g1,0.3563038408756256
GSR,DLD,28.71455,-0.34161949157714844,g2_to_g1,0.6492984294891357
WDR45,WIPI2,24.155,-0.008484125137329102,g1_to_g2,0.3534463942050934
RGS2,RGS3,24.338635,-1.3974093198776245,g2_to_g1,0.33952760696411133
ATXN1,ATXN1L,27.72115,1.0054623037576675,g1_to_g2,-1.1333564519882202
TRIM26,RNF39,20.8981,-2.9246429204940796,g2_to_g1,0.8427838087081909
ATP1A3,ATP2B3,26.65085,-0.14896177500486374,g2_to_g1,0.0699358657002449
THAP1,THAP8,20.8612,0.06237080693244934,g2_to_g1,-0.43583306670188904
PGBD1,ZSCAN23,22.8407,1.1981254816055298,g1_to_g2,-0.6980656981468201
PGBD1,ZSCAN16,23.836,0.39686256647109985,g1_to_g2,0.3678756356239319
PGBD1,ZKSCAN1,21.83915,0.5088451206684113,g1_to_g2,-0.19347965717315674
PGBD1,ZKSCAN4,22.418,-0.42201797664165497,g1_to_g2,-0.12946011126041412
PGBD1,ZSCAN9,20.0031,0.4583831876516342,g1_to_g2,-0.2858905494213104
PGBD1,ZNF165,20.7771,-1.7334617376327515,g1_to_g2,0.43282389640808105
PGBD1,ZKSCAN3,22.59225,1.2437017858028412,g1_to_g2,-0.4752993881702423
HNRNPA2B1,HNRNPAB,32.39805,0.09590315818786621,g2_to_g1,1.0955828428268433
CEP63,DEUP1,29.0881,-2.1293682157993317,g2_to_g1,1.9245686531066895
KIF1B,KIF13B,29.21495,1.3188486471772194,g2_to_g1,-0.08077958971261978
CASP3,CASP4,24.42425,0.0,g2_to_g1,-0.14848442375659943
CASP3,CASP5,21.88275,,g2_to_g1,
PVR,NECTIN2,41.92965,-2.681515693664551,g2_to_g1,0.5694983005523682
FERMT2,FERMT3,53.6199,-1.2597598433494568,g1_to_g2,0.03883892297744751
ADAM10,ADAM17,23.33695,-0.8395047932863235,g1_to_g2,0.07875926792621613
ADAM10,ADAM28,20.4923,-0.6562939584255219,g1_to_g2,-0.03434416651725769
ADAM10,ADAM9,20.97475,-1.6929773092269897,g1_to_g2,0.6235555410385132
PCDH1,PCDH7,50.6447,1.2145082205533981,g2_to_g1,0.21878381073474884
IGF1R,INSRR,54.9178,0.0,g1_to_g2,-0.24496732652187347
FGD4,FGD1,39.63065,1.5479027032852173,g2_to_g1,-0.18265843391418457
ZNF592,ZNF687,31.7937,-1.3215118646621704,g1_to_g2,0.6115896701812744
DNM2,DNM1,78.8937,1.5742363184690475,g2_to_g1,0.19100995361804962
CASP3,CASP10,23.20845,-0.7337153106927872,g1_to_g2,0.1435508280992508
CASP3,CASP1,23.73285,0.0,g1_to_g2,-0.07372097671031952
CASP3,CASP9,27.6642,-0.23379182815551758,g1_to_g2,1.2610632181167603
CASP3,CASP8,29.05875,-1.734588861465454,g1_to_g2,0.6751329898834229
PARP1,PARP3,25.1888,-0.42073389142751694,g2_to_g1,0.06549733132123947
PRRC2C,PRRC2B,30.1208,-1.6267827153205872,g2_to_g1,1.0034047365188599
SLC4A1AP,PPP1R8,20.7737,0.1278458535671234,g2_to_g1,0.482099324464798
ATP1A3,ATP2A2,29.30025,-0.22768419981002808,g2_to_g1,0.9177501201629639
PMPCA,PMPCB,30.61055,1.7703995108604431,g1_to_g2,-0.9821186065673828
PMPCA,UQCRC1,28.11605,1.7451465129852295,g1_to_g2,-0.7488422989845276
PRKAG2,PRKAG1,56.86555,1.8716649413108826,g2_to_g1,-1.103148341178894
RAB7A,RAB44,20.917255,0.0,g2_to_g1,-0.10444782674312592
RAB10,RAB44,20.92801,0.0,g2_to_g1,-0.10444782674312592
TRPM7,TRPM4,23.59455,1.6158169507980347,g1_to_g2,-0.596839189529419
TRPM7,TRPM6,53.03225,0.0,g1_to_g2,-0.5712442398071289
TRPM7,TRPM3,43.7668,1.2281536608934402,g1_to_g2,-0.10456164181232452
TRPM7,TRPM5,21.8249,0.0,g1_to_g2,-0.1477304995059967
TRPM7,TRPM1,42.09015,-3.1009523272514343,g1_to_g2,2.9596753120422363
HNRNPA2B1,HNRNPD,31.04705,-0.2265033721923828,g2_to_g1,-0.548487663269043
PFN1,PFN2,61.4286,-0.8938158452510834,g1_to_g2,0.5861935019493103
HNRNPA2B1,HNRNPDL,27.09885,-1.5137785971164703,g2_to_g1,1.0248188972473145
GSR,TXNRD3,30.89115,-0.5853068679571152,g2_to_g1,0.18726782500743866
