,cluster_id
ZNF169,-1
DNASE2,-1
KLF15,-1
OLFM2,118
TNS2,331
FOXO1,253
CAMTA2,293
NKX3-2,-1
NEK4,73
PLD2,-1
TMEM44,-1
IL27RA,370
MAF1,379
LEF1,-1
GDF15,-1
PER2,233
PABPC4L,-1
ZRANB3,279
PRKAG3,-1
TXK,-1
FABP5,-1
PDLIM1,-1
PCGF5,575
QSOX2,-1
SOWAHC,-1
CDKN2AIPNL,-1
PLPP2,-1
PGAP6,568
EPAS1,-1
GTF2H5,-1
TXNDC5,138
MTFP1,224
GRIK5,501
SP140,61
MAP3K9,383
IFITM1,386
TMEM33,278
TOR1B,-1
HMX1,-1
HMOX1,543
UBR3,-1
SFR1,298
BRD1,420
SFT2D3,319
MROH6,-1
LIME1,197
ZNF205,284
MTMR14,-1
GRHL2,-1
STX1B,309
ZNF791,-1
FGFR1,504
MAP7D1,217
CYBRD1,-1
ZNF219,381
RNASEH1,-1
ZNF180,532
CDV3,563
RBFOX2,31
COL18A1,-1
DUXB,-1
TRIM37,55
RASA4,533
LARGE2,-1
PRUNE1,514
MINPP1,197
SLC66A3,584
TRMT11,590
HID1,311
SUPT7L,150
GPR162,-1
ACOT13,-1
NT5C,-1
MAMSTR,338
TMEM37,235
UFSP2,-1
SHOX2,-1
ZNF519,-1
CCDC18,-1
PDZD8,403
AQP3,-1
SHCBP1,103
TMEM223,-1
C8orf48,-1
CDYL2,-1
UBB,300
CDC14B,-1
TMEM230,-1
CD151,172
FECH,173
KPNA3,392
FAM120B,-1
HNRNPA1L2,-1
PRSS53,579
SLC4A11,-1
CAP1,-1
CD63,-1
ZZZ3,202
ESD,-1
F2R,-1
EPHX1,484
PRDM5,387
HNRNPAB,275
TWSG1,-1
ILVBL,467
DNASE1L2,461
GABRB3,235
ISCA2,-1
FOSL1,561
DCANP1,612
LIMD2,-1
ZNF843,-1
PNMA3,-1
FAM104A,568
FLOT1,-1
ENDOV,-1
C21orf58,289
CDKN3,-1
TIE1,201
CBX5,-1
NME1,-1
MYL9,582
BAIAP2L2,42
ZNF318,202
ENC1,-1
BATF,-1
TREX2,-1
IGFBP4,424
L1TD1,-1
KLF10,615
AFF3,-1
NEURL1B,-1
ZFAND1,422
FDXACB1,487
GYPC,-1
LHFPL2,146
ECHDC1,573
SV2A,103
STARD3NL,-1
PPP2R5E,587
FBH1,207
ZNF691,-1
PAXIP1,-1
G3BP2,168
TEFM,-1
RWDD3,554
ALOX12,-1
HIVEP2,153
ZSWIM4,484
KDM4E,-1
HEBP1,229
TMEM25,-1
NFATC1,416
METTL4,-1
NKTR,525
TRIM41,-1
PPP2R5A,-1
WDR62,-1
ACY1,-1
SNX5,-1
HSPA12B,-1
GPC4,-1
GEN1,350
PUS1,477
PTPN1,617
WDFY1,-1
FLVCR1,176
RFNG,-1
ZNF517,-1
FAHD2B,-1
GFOD2,-1
TAPBP,-1
MATN3,-1
MRC2,478
TMEM47,342
CSNK1A1L,-1
ACSS1,-1
SERTAD3,580
PLEKHH3,-1
CCNY,-1
STEAP1,331
SLC27A2,-1
IQSEC2,-1
EFNB1,154
PGR,-1
MGST1,429
IKZF1,230
CLIC4,315
TOPORS,-1
GATA3,-1
TOLLIP,438
EME2,-1
ZNF740,218
ZNF41,564
TMEM158,540
MESP1,574
ZNF184,-1
DGKZ,531
ZNF774,-1
ENTPD8,-1
AMPD2,-1
HFM1,-1
ZNF784,420
GPR27,-1
FGD1,-1
ZNF786,-1
PEX10,419
JOSD1,-1
NUMBL,-1
TEX261,471
ASNS,166
TMEM141,-1
NR0B2,-1
IGFBP6,-1
LSR,278
PFKL,-1
CCDC71,199
ZNF23,471
SHOX,-1
NR5A1,-1
BHLHA15,-1
SLC15A1,504
WSCD1,520
MAPK8IP1,550
PIGC,387
TNP1,532
IMPACT,337
PPARGC1A,-1
DAPK1,605
GTF2IRD2B,-1
NEK9,-1
MPP2,-1
HMGB4,-1
NAXE,235
CREB3L1,-1
FAM220A,-1
PROSER3,300
